name,gender,height,weight,country_id
Aglaia Pezzato,female,1.75,60
Agnes Osazuwa,female,1.62,65
Agnes Raharolahy,female,1.67,58
Agnese Pastare,female,1.79,68
Agnete Kirk Thinggaard,female,1.72,62
Agnieszka Dygacz,female,1.60,47
Agnieszka Jadwiga Wieszczek-Kordus,female,1.75,69
Agnieszka Jerzyk,female,1.70,59
Agnieszka Kobus,female,1.77,68
Agnieszka Nagay,female,1.69,61
Agnieszka Radwanska,female,1.73,59
Agnieszka Skrzypulec,female,1.66,53
Agnieszka Szwarnog,female,1.65,51
Agustin Mazzilli,male,1.73,77
Agustin Vidal,male,1.94,100
Agustina Albertarrio,female,1.65,55
Agustina Habif,female,1.65,55
Ahmad Abughaush,male,1.78,68
Ahmad Alafasi,male,,
Ahmad Amsyar Azman,male,1.62,62
Ahmad Hazer,male,1.88,80
Ahmed Abdelaal,male,1.88,89
Ahmed Abdelhay,male,1.97,87
Ahmed Abelrahman,male,1.65,60
Ahmed Afifi,male,1.94,92
Ahmed Akram,male,1.88,80
Ahmed Ali,male,1.73,75
Ahmed Attellesey,male,,
Ahmed Bader Magour,male,1.90,90
Ahmed Darwish,male,1.72,80
Ahmed El Kotb,male,1.97,80
Ahmed El-Nemr,male,1.83,84
Ahmed Elahmar,male,1.81,79
Ahmed Gebrel,male,,
Ahmed Goumar,male,1.80,73
Ahmed Ibrahim,male,1.84,80
Ahmed Kamar,male,1.75,60
Ahmed Mathlouthi,male,1.90,90
Ahmed Mohamed,male,1.70,73
Ahmed Mohamed,male,1.85,144
Ahmed Mohamed Ibrahim Saad,male,1.65,85
Ahmed Ragab,male,1.74,81
Ahmed Saad,male,1.60,62
Ahmed Shaban,male,1.90,95
Ahmet Li,male,1.73,67
Ahmet Orken,male,1.77,69
Ahreum Na,female,1.63,55
Ahymara Espinoza,female,1.80,99
Ai Fukuhara,female,1.56,48
Ai Kondo Yoshida,female,1.61,58
Ai Ueda,female,1.55,44
Ai Wen Yu,female,1.57,52
Aiaal Lazarev,male,1.95,125
Aichen Wang,male,1.85,75
Aida Fall,female,1.93,95
Aida Mohamed,female,1.62,58
Aida Roman,female,1.69,64
Aida Shanaeva,female,1.73,63
Aidan Roach,male,1.87,88
Aika Hakoyama,female,1.76,62
Aikaterini Nikolaidou,female,1.80,70
Aikaterini-Maria Kontochristopoulou,female,1.68,58
Aiko Hayashi,female,1.66,56
Aiko Sugihara,female,1.46,35
Aileen Reid,female,1.69,53
Ailen Valente,female,1.67,58
Ailly Luciano,female,1.71,69
Ailun Guo,male,1.92,85
Aimee Fisher,female,1.83,99
Aimee Willmott,female,1.71,66
Aina Cid I Centelles,female,1.70,60
Ainhoa Hernandez,female,1.80,88
Ainhoa Murua,female,1.60,48
Ainur Yesbergenova,female,1.64,49
Airi Hatakeyama,female,1.71,46
Airine Palsyte,female,1.87,63
Aisen Chen,male,1.68,60
Aisha Praught,female,1.62,50
Aislin Jones,female,1.57,51
Aisuluu Tynybekova,female,1.70,58
Aitor Martinez Rodriguez,male,1.83,78
Aivi Luik,female,1.63,58
Ajee Wilson,female,1.73,61
Ajla del Ponte,female,1.68,56
Ajna Kesely,female,1.65,54
Akalani Baravilala,female,1.68,74
Akane Kuroki,female,1.65,50
Akane Shibata,female,1.53,50
Akane Yamaguchi,female,1.56,55
Akani Simbine,male,1.76,74
Akashdeep Singh,male,1.78,70
Akeem Haynes,male,1.68,71
Akela Jones,female,1.86,77
Aki Mitsuhashi,female,1.66,59
Aki Yazawa,female,1.56,50
Akihiko Nakamura,male,1.80,73
Akiko Sato,female,1.62,58
Akira Ioane,male,1.94,113
Akira Yanase,male,1.91,95
Akossiwa Claire Ayivon,female,,
Akua Obeng-Akrofi,female,,
Alaa Ali,male,1.78,68
Alaaeldin Abouelkassem,male,1.88,87
Alade Aminu,male,2.10,102
Alain Sign,male,1.81,84
Alan Campbell,male,1.91,96
Alan Hatherly,male,1.78,62
Alan Sinclair,male,1.92,96
Alan Sothern,male,1.78,76
Alana Barber,female,1.63,52
Alana Boyd,female,1.71,59
Alanna Kennedy,female,1.76,63
Alastair Brogdon,male,1.83,76
Alba Torrens,female,1.91,68
Albachir Mouctar,male,1.78,76
Albane Valenzuela,female,1.74,58
Albert Espanol Lifante,male,1.89,86
Albert Gaun,male,1.85,80
Albert Hermoso Farras,male,1.68,65
Albert Kibichii Rop,male,1.77,63
Albert Puig Garrich,male,1.84,78
Albert Ramon Ramirez,male,1.82,
Albert Ramos-Vinolas,male,1.88,80
Albert Saritov,male,1.88,100
Albert Selimov,male,1.71,
Albert Subirats,male,1.90,85
Alberth Bravo,male,1.99,88
Alberth Elis,male,1.84,77
Albertina Cruz Kassoma,female,1.92,105
Alberto Alvarez,male,1.91,78
Alberto Ezequiel Melian,male,1.70,
Alberto Fernandez,male,1.80,115
Alberto Ignacio Palmetta,male,1.75,
Alberto Munarriz Egana,male,1.98,105
Alberto Ricchetti,male,1.86,88
Albin Lagergren,male,1.86,94
Albina Shakirova,female,1.65,50
Aldemir da Silva Junior,male,1.93,80
Aldo Montano,male,1.84,82
Alec Potts,male,1.85,77
Aleixo-Platini Menga,male,1.82,82
Alejandra Betancur,female,1.60,82
Alejandra Garza Garza,female,1.65,75
Alejandra Jhonay Benitez Romero,female,1.69,62
Alejandra Llaneza,female,1.58,48
Alejandra Orozco,female,1.57,56
Alejandra Ortega,female,1.65,57
Alejandra Quereda,female,1.75,54
Alejandra Teran,female,1.76,73
Alejandra Valencia,female,1.75,74
Alejandra Zavala Vazquez,female,1.65,85
Alejandro Enrique Valdes Tobier,male,1.65,65
Alejandro Foglia Costa,male,1.90,96
Alejandro Valverde Belmonte,male,1.77,63
Aleksandar Aleksandrov,male,1.89,93
Aleksandar IVOVIC,male,1.97,107
Aleksandar Karakasevic,male,1.78,85
Aleksandar Kukolj,male,1.94,94
Aleksandar Nikolov,male,1.85,75
Aleksandar RADOVIC,male,1.91,98
Aleksandr Krasnykh,male,1.88,80
Aleksandr Lipatov,male,1.84,77
Aleksandr Markov,male,1.79,70
Aleksandr Popkov,male,1.85,80
Aleksandr Sadovnikov,male,1.93,85
Aleksandra Cotti,female,1.67,65
Aleksandra Crvendakic,female,1.87,76
Aleksandra Jarmolinska,female,1.60,67
Aleksandra Krunic,female,1.63,55
Aleksandra Patskevich,female,1.69,49
Aleksandra Romanova,female,1.68,58
Aleksandra Socha,female,1.74,66
Aleksandra Urbanczyk,female,1.72,64
Aleksandrs Samoilovs,male,1.96,98
Aleksei Brianskii,male,1.92,82
Aleksei Kurbatov,male,,
Aleksejs Rumjancevs,male,1.85,90
Aleksejs Saramotins,male,1.85,75
Aleksey Mochalov,male,1.86,90
Aleksi Ojala,male,1.80,62
Alemu Bekele,male,1.62,59
Alen Zasieiev,male,1.85,125
Alena Abramchuk,female,1.82,95
Alena Amialiusik,female,1.69,52
Alena Furman,female,1.79,65
Alena Sharp,female,1.68,69
Alena Sobaleva,female,1.78,87
Alesha Widdall,female,1.73,65
Alessandra Aguilar,female,1.65,50
Alessandra Patelli,female,1.80,70
Alessandra Perilli,female,1.69,73
Alessandro De Marchi,male,1.81,66
Alessandro Fabian,male,1.86,77
Alessandro Nora,male,1.91,85
Alessandro Velotto,male,1.86,85
Alessia Gennari,female,1.84,68
Alessia Maurelli,female,1.68,48
Alessia Orro,female,1.80,74
Alessia Polieri,female,1.63,55
Alessia Trost,female,1.88,70
Aletta Jorritsma,female,1.86,76
Alev Kelter,female,1.68,74
Alex Abrines,male,1.98,93
Alex Amankwah,male,,
Alex Beddoes,male,1.81,74
Alex Bowen,male,1.96,102
Alex Casasayas,male,1.83,78
Alex Cejka,male,1.68,65
Alex Garcia,male,1.92,102
Alex Garcia Mendoza,male,1.86,110
Alex Gregory,male,1.98,97
Alex Hua Tian,male,1.90,70
Alex Kennedy,male,1.96,96
Alex Maloney,female,1.58,56
Alex Morgan,female,1.70,59
Alex Obert,male,1.96,105
Alex Ranghieri,male,2.00,94
Alex Roelse,male,2.04,115
Alex Rose,male,,
Alex Sobers,male,1.88,66
Alex William Pombo Silva,male,1.74,73
Alex Wright,male,1.75,62
Alex di Giorgio,male,1.85,75
Alexa Moreno,female,1.47,45
Alexander Belonogoff,male,1.87,90
Alexander Brouwer,male,1.98,90
Alexander Bryukhankov,male,1.84,79
Alexander Bury,male,1.84,94
Alexander Choupenitch,male,1.96,89
Alexander Edmondson,male,1.84,76
Alexander Fransson,male,1.80,75
Alexander Gehbauer,male,1.85,70
Alexander Hartmann,male,1.98,91
Alexander Hendrickx,male,1.85,82
Alexander Hill,male,1.93,91
Alexander Horst,male,1.86,88
Alexander Huber,male,1.79,64
Alexander John,male,1.85,84
Alexander Karwoski,male,1.94,90
Alexander Kosenkow,male,1.78,74
Alexander Leksell,male,1.76,78
Alexander Lerionka Sampao,male,,67
Alexander Lesun,male,1.85,74
Alexander Lloyd,male,1.89,89
Alexander Massialas,male,1.88,81
Alexander Milosevic,male,1.92,77
Alexander Molerio Quintana,male,1.69,75
Alexander Naddour,male,1.71,70
Alexander Peya,male,1.82,80
Alexander Russo,male,1.73,61
Alexander Schmirl,male,1.76,95
Alexander Shatilov,male,1.83,77
Alexander Shibaev,male,1.92,80
Alexander Sigurbjornsson,male,1.80,80
Alexander Sukhorukov,male,1.96,93
Alexander Volkov,male,2.10,90
Alexandr Spac,male,1.64,77
Alexandr Yemelyanov,male,1.84,97
Alexandr Zaichikov,male,1.80,105
Alexandra Burghardt,female,1.81,70
Alexandra Danson,female,1.67,56
Alexandra Hagan,female,1.82,75
Alexandra Keresztesi,female,1.83,72
Alexandra Lacrabere,female,1.77,73
Alexandra Longova,female,1.73,51
Alexandra Martinez,female,1.77,68
Alexandra Mirca,female,1.68,70
Alexandra Nemich,female,1.68,46
Alexandra Oquendo,female,1.89,75
Alexandra Popp,female,1.74,65
Alexandra Privalova,female,1.78,66
Alexandra Raisman,female,1.58,52
Alexandra Razarenova,female,1.68,56
Alexandra Tavernier,female,1.70,82
Alexandra Touretski,female,1.70,58
Alexandra Wenk,female,1.80,63
Alexandra Wester,female,1.80,64
Alexandre Ayache,male,1.80,80
Alexandre Bouzaid,male,1.68,75
Alexandre Camarasa,male,1.93,100
Alexandre Camargo,male,1.77,75
Alexandre Haldemann,male,1.86,81
Alexandre Iddir,male,1.84,90
Alexandre de Paeuw,male,1.78,75
Alexandres Gounas,male,1.79,73
Alexandrina Cabral,female,1.75,62
Alexandro Pozzer,male,1.92,107
Alexandros Papamichail,male,1.78,63
Alexei Klimov,male,1.82,88
Alexei Sancov,male,1.88,85
Alexej Prochorow,male,1.91,138
Alexey Alipov,male,1.74,80
Alexey Cheremisinov,male,1.83,75
Alexey Denisenko,male,1.85,68
Alexey Dergunov,male,1.87,95
Alexey Verbov,male,1.83,79
Alexey Yakimenko,male,1.84,80
Alexi Pappas,female,,
Alexis Gonzalez,male,1.84,85
Alexis Raynaud,male,1.72,78
Alexis Santos,male,1.85,74
Alexis Soto,male,1.64,66
Alexis Vuillermoz,male,1.73,60
Alexus Laird,female,1.72,61
Alfonso Antonio Leyva Yepez,male,1.81,85
Alfonso Benavides Lopez de Ayala,male,1.82,86
Alfred Kipketer,male,1.67,60
Alfredo Campo,male,1.92,90
Alfredo Talavera,male,1.88,84
Alhussein Gambour,male,1.75,68
Ali Adnan,male,1.80,76
Ali Elghrari,male,,
Ali Eren Demirezen,male,1.89,
Ali Faez,male,1.84,75
Ali Hashemi,male,1.78,93
Ali Hisny,male,1.77,70
Ali Kaya,male,1.75,54
Ali Khalafalla,male,1.82,78
Ali Khamis Khamis,male,1.82,70
Ali Krieger,female,1.68,63
Ali Messaoudi,male,1.78,63
Ali Nouisri,male,1.84,75
Ali Pakdaman,male,1.93,94
Ali Riley,female,1.63,57
Ali Suljic,male,1.89,80
Ali Yousef Al Rumaihi,male,1.77,86
Ali Zein Mohamed,male,1.90,83
Alia Atkinson,female,1.73,71
Alia Saeed Mohammed,female,1.58,54
Aliaksandr Bersanau,male,1.76,94
Aliaksandr Buikevich,male,1.91,80
Aliaksandr Liakhovich,male,1.72,65
Aliaksandra Herasimenia,female,1.74,58
Aliaksandra Tarasava,female,1.70,64
Aliaksei Mzhachyk,male,1.90,136
Alican Kaynar,male,1.91,98
Alice Aprot Nawowuna,female,1.52,54
Alice Ingley,female,1.72,80
Alice Mizzau,female,1.80,65
Alice Naber-Lozeman,female,1.68,62
Alice Richardson,female,1.72,69
Alice Schlesinger,female,1.65,65
Alice Sinno,female,1.75,69
Alice Sotero,female,1.66,53
Alicia Blagg,female,1.65,65
Alicia Brown,female,1.65,57
Alicia Cebrian Martinez de Lagos,female,1.68,68
Alicia Coutts,female,1.76,69
Alicia Magaz,female,1.61,60
Alicia Quirk,female,1.73,64
Alicja Tchorz,female,1.76,68
Alin Alexuc Ciurariu,male,1.91,105
Alin Coste,male,2.01,95
Alin George Moldoveanu,male,1.73,73
Alina Armas,female,1.66,53
Alina Fodorova,female,1.75,65
Alina Komashchuk,female,1.69,75
Alina Logvynenko,female,1.80,67
Alina Rotaru,female,1.75,57
Alina Stadnik Makhynia,female,1.65,69
Alina Talay,female,1.64,57
Aline,female,1.62,60
Aline Focken,female,1.77,73
Aline da Silva Ferreira,female,1.78,80
Aliona Dubitskaya,female,1.80,76
Alireza Khojasteh,male,1.82,66
Alireza Mohammad Karimimachiani,male,1.75,86
Alisa Kano,female,1.63,47
Alisa Kiriliuk,female,1.65,57
Alise Post,female,1.58,56
Alisha Glass,female,1.84,72
Alison Cerutti,male,2.03,102
Alison Young,female,1.82,70
Alistair Bond,male,1.86,71
Alistair Brownlee,male,1.84,70
Aliya Mustafina,female,1.61,48
Aliyah Abrams,female,1.63,53
Alize Cornet,female,1.73,63
Alla Cherkasova,female,1.65,75
Alla Shishkina,female,1.70,56
Allan Banegas,male,1.80,76
Allan Fa'alava'au,male,1.70,87
Allan Gutierrez,male,1.78,79
Allan Julie,male,1.81,91
Allan Norregaard,male,1.73,67
Allan do carmo,male,1.74,73
Allans Vargas,male,1.84,69
Allar Raja,male,1.90,95
Allie Long,female,1.72,59
Allison Beveridge,female,1.69,62
Allison M. Brock,female,1.68,58
Allison Pineau,female,1.81,66
Allison Schmitt,female,1.86,74
Allistar Clarke,male,1.87,71
Allysha Chapman,female,1.60,58
Allyson Felix,female,1.68,56
Allyson Ponson,female,1.65,60
Almat Kebispayev,male,1.66,59
Almaz Ayana,female,1.66,47
Almir Velagic,male,1.83,149
Almuth Schult,female,1.80,71
Alona Koshevatskiy,female,1.70,53
Alona Ribakova,female,1.76,63
Alonso Edward,male,1.81,76
Alonso Valdez Prado,male,1.70,68
Alonzo Russell,male,,
Alphas Leken Kishoyian,male,1.67,59
Alphonce Felix Simbu,male,,55
Altobeli da Silva,male,1.81,60
Alvaro Doda de Miranda,male,1.86,86
Alvaro Iglesias,male,1.78,79
Alvaro Martin,male,1.79,63
Alvaro de Arriba,male,1.77,69
Alvin Singh,male,1.85,88
Alyce Burnett,female,1.82,71
Alyn Camara,male,1.96,84
Alysbeth Felix,female,1.71,59
Alysha Newman,female,1.72,67
Alyson Dixon,female,1.55,43
Alyssa Bull,female,1.73,65
Alyssa Conley,female,1.76,63
Alyssa Manley,female,1.58,53
Alyssa Naeher,female,1.75,61
Alyxandria Treasure,female,1.55,68
Alzbeta Dufkova,female,1.72,65
Amadou Camara,male,1.63,69
Amadou Ndiaye,male,1.80,80
Amaia Erbina,female,1.71,68
Amaka Ogoegbunam,female,1.64,61
Amalie Dideriksen,female,1.75,62
Amalie Iuel,female,,
Amalie Thomsen,female,1.66,60
